ring_id,vertex_id,x,y
0,0,100,0
0,1,98.078528,19.509032
0,2,92.387953,38.268343
0,3,83.146961,55.557023
0,4,70.710678,70.710678
0,5,55.557023,83.146961
0,6,38.268343,92.387953
0,7,19.509032,98.078528
0,8,0,100
0,9,-19.509032,98.078528
0,10,-38.268343,92.387953
0,11,-55.557023,83.146961
0,12,-70.710678,70.710678
0,13,-83.146961,55.557023
0,14,-92.387953,38.268343
0,15,-98.078528,19.509032
0,16,-100,0
0,17,-98.078528,-19.509032
0,18,-92.387953,-38.268343
0,19,-83.146961,-55.557023
0,20,-70.710678,-70.710678
0,21,-55.557023,-83.146961
0,22,-38.268343,-92.387953
0,23,-19.509032,-98.078528
0,24,-0,-100
0,25,19.509032,-98.078528
0,26,38.268343,-92.387953
0,27,55.557023,-83.146961
0,28,70.710678,-70.710678
0,29,83.146961,-55.557023
0,30,92.387953,-38.268343
0,31,98.078528,-19.509032
Total signed area in input: 3.121445e+04
Total signed area in output: 3.121445e+04
Total areal displacement: 0.000000e+00
